ID,Call Failure,Complains,Subscription  Length,Charge Amount,Seconds of Use,Freq. of use,Freq. of SMS,Distinct Called Numbers,Age Group,Plan,Status,Age,Customer Value,Churn
751,0,no,35,0,3355,54,0,15,2,pre-paid,active,25,153.405,yes
752,0,no,36,0,0,0,0,0,2,pre-paid,not-active,25,0,yes
753,0,no,34,0,1438,43,327,22,2,pre-paid,active,25,1538.145,yes
754,0,no,35,0,3183,49,0,33,1,pre-paid,active,15,177.76,yes
755,0,no,35,0,1378,41,0,31,1,pre-paid,active,15,78.045,yes
756,0,no,35,0,2760,65,0,26,2,pre-paid,active,25,127.125,yes
757,0,no,35,0,1345,22,253,16,3,pre-paid,active,30,1066.68,yes
758,2,no,34,0,8100,104,112,41,3,pre-paid,active,30,776.16,yes
759,0,no,35,0,12758,152,0,42,3,pre-paid,active,30,516.4,yes
760,0,no,35,0,3500,66,0,23,3,pre-paid,active,30,142.64,yes
761,0,no,35,0,4903,78,0,10,2,pre-paid,active,25,224.145,yes
762,0,no,35,0,1223,37,0,15,3,pre-paid,not-active,30,50.4,yes
763,14,no,35,1,14125,208,22,30,2,pre-paid,active,25,743.985,yes
764,0,no,35,0,2080,10,451,6,3,pre-paid,active,30,1887.6,yes
765,0,no,34,0,14470,165,118,28,2,pre-paid,active,25,1189.575,yes
766,0,no,34,0,5485,69,154,24,3,pre-paid,active,30,838.16,yes
767,0,no,34,0,0,0,0,0,2,pre-paid,not-active,25,0,yes
768,0,no,35,0,0,0,0,0,2,pre-paid,not-active,25,0,yes
769,0,no,34,0,0,0,0,0,2,pre-paid,not-active,25,0,no
770,0,no,34,0,6493,110,352,41,2,pre-paid,active,25,1881.135,yes
771,0,no,34,0,10450,137,0,45,3,pre-paid,active,30,423.48,yes
772,0,no,34,0,5703,58,76,35,2,pre-paid,active,25,601.245,yes
773,0,yes,30,0,0,0,0,0,2,pre-paid,not-active,25,0,no
774,10,no,33,6,9420,76,0,40,4,pre-paid,active,45,237.4,yes
775,2,yes,33,0,4803,81,0,22,2,pre-paid,active,25,219.78,no
776,0,no,31,0,1825,5,0,12,3,pre-paid,active,30,73.2,yes
777,0,no,32,0,1975,24,0,14,2,pre-paid,not-active,25,89.955,no
778,0,no,33,0,1253,27,2,29,3,pre-paid,not-active,30,59.2,no
779,0,yes,33,0,0,0,0,0,2,pre-paid,not-active,25,0,no
780,0,no,33,0,653,8,0,4,3,pre-paid,active,30,26.44,yes
781,0,no,30,0,5770,80,0,20,4,pre-paid,active,45,146.25,yes
782,0,no,33,0,0,0,0,0,3,pre-paid,not-active,30,0,no
783,0,no,33,0,0,0,0,0,4,pre-paid,active,45,0,yes
784,14,no,28,1,15060,221,0,78,2,pre-paid,active,25,687.645,yes
785,0,no,31,1,5950,99,239,31,2,post-paid,active,25,1347.705,yes
786,0,no,33,0,2703,65,0,26,2,pre-paid,active,25,124.56,yes
787,0,no,32,0,650,27,6,18,3,pre-paid,not-active,30,51.08,yes
788,0,no,33,0,1765,36,143,21,2,pre-paid,active,25,724.545,yes
789,0,no,24,0,300,19,161,9,2,post-paid,active,25,738.855,yes
790,0,no,23,0,553,22,0,66,4,pre-paid,active,45,14.375,yes
791,0,no,24,0,0,0,0,0,2,pre-paid,not-active,25,0,yes
792,0,no,23,0,0,0,0,0,4,pre-paid,not-active,45,0,yes
793,0,no,22,0,210,15,0,11,2,pre-paid,active,25,10.125,yes
794,0,no,22,0,2210,44,0,21,3,pre-paid,active,30,90.16,yes
795,0,no,15,0,680,9,0,12,2,pre-paid,active,25,31.005,yes
796,5,no,14,0,5377,124,53,40,1,post-paid,active,15,594.055,yes
797,1,no,12,0,7917,154,41,38,4,pre-paid,active,45,304.275,yes
798,0,no,13,1,1837,28,0,17,3,pre-paid,active,30,74.6,yes
799,0,no,6,0,3375,23,183,8,3,pre-paid,active,30,867.92,yes
800,0,no,6,0,472,2,0,5,2,pre-paid,active,25,21.33,no
801,3,no,36,0,4065,65,0,15,2,pre-paid,active,25,185.85,yes
802,0,no,37,0,0,0,0,0,2,pre-paid,not-active,25,0,yes
803,5,no,35,0,2148,54,352,22,2,pre-paid,active,25,1683.09,yes
804,5,no,36,0,3893,60,0,33,1,pre-paid,active,15,217.415,yes
805,0,no,36,0,2088,52,0,31,1,pre-paid,active,15,117.7,yes
806,6,no,36,0,3470,76,25,26,2,pre-paid,active,25,272.07,yes
807,0,no,36,0,2055,33,278,16,3,pre-paid,active,30,1195.52,yes
808,8,no,35,1,8810,115,137,41,3,pre-paid,active,30,905,yes
809,2,no,36,0,13468,163,0,42,3,pre-paid,active,30,545.24,yes
810,2,no,36,0,4210,77,0,23,3,pre-paid,active,30,171.48,yes
811,1,no,36,0,5613,89,0,10,2,pre-paid,active,25,256.59,yes
812,4,no,36,0,1933,48,1,15,3,pre-paid,not-active,30,83.24,yes
813,20,no,36,2,14835,219,47,30,3,pre-paid,active,30,790.16,yes
814,0,no,36,0,2790,21,476,6,3,pre-paid,active,30,2016.44,yes
815,4,no,35,0,15180,176,143,28,2,pre-paid,active,25,1334.52,yes
816,0,no,35,0,6195,80,179,24,3,pre-paid,active,30,967,yes
817,0,no,35,0,570,8,0,9,2,pre-paid,not-active,25,26.01,yes
818,0,no,36,0,405,8,6,6,2,pre-paid,not-active,25,45.585,yes
819,0,yes,35,0,0,0,0,0,2,pre-paid,not-active,25,0,no
820,0,no,35,0,7203,121,377,41,2,pre-paid,active,25,2026.08,yes
821,2,no,35,0,11160,148,4,45,3,pre-paid,active,30,468.32,yes
822,3,no,35,0,6413,69,101,35,2,pre-paid,active,25,746.19,yes
823,18,no,31,0,650,41,9,15,2,pre-paid,not-active,25,71.595,no
824,16,no,34,7,10130,87,0,40,4,pre-paid,active,45,255.425,yes
825,8,no,34,0,5513,92,19,22,2,pre-paid,active,25,337.725,no
826,0,no,32,0,2535,16,0,12,3,pre-paid,active,30,102.04,yes
827,4,no,33,0,2685,35,2,14,2,pre-paid,not-active,25,131.4,no
828,4,yes,34,0,1963,38,27,29,3,pre-paid,not-active,30,188.04,no
829,0,no,34,0,0,0,0,0,3,pre-paid,not-active,30,0,no
830,0,no,34,0,1363,19,0,4,3,pre-paid,active,30,55.28,yes
831,0,no,31,0,6480,91,7,20,4,pre-paid,active,45,181.775,yes
832,0,yes,34,0,323,1,2,2,4,pre-paid,not-active,45,13.1,no
833,0,no,34,0,0,0,0,0,5,pre-paid,active,55,0,yes
834,20,no,29,2,15770,232,0,78,2,pre-paid,active,25,720.09,yes
835,1,no,32,2,6660,110,264,31,2,post-paid,active,25,1492.65,yes
836,0,no,34,0,3413,76,0,26,2,pre-paid,active,25,157.005,yes
837,0,no,33,0,1360,38,31,18,3,pre-paid,not-active,30,179.92,yes
838,1,no,34,0,2475,47,168,21,2,pre-paid,active,25,869.49,yes
839,0,no,25,0,1010,30,186,9,2,post-paid,active,25,883.8,yes
840,0,no,24,0,1263,33,23,66,4,pre-paid,active,45,89.9,yes
841,6,no,25,0,395,19,3,5,2,pre-paid,not-active,25,32.13,yes
842,0,no,24,0,520,4,14,1,4,pre-paid,not-active,45,48.1,yes
843,5,no,23,0,920,26,12,11,2,pre-paid,active,25,96.57,yes
844,0,no,23,0,2920,55,1,21,3,pre-paid,active,30,123,yes
845,0,no,16,0,1390,20,21,12,2,pre-paid,active,25,157.95,yes
846,11,no,15,0,6087,135,78,40,1,post-paid,active,15,771.21,yes
847,7,no,13,0,8627,165,66,38,4,pre-paid,active,45,384.8,yes
848,3,no,14,2,2547,39,24,17,3,pre-paid,active,30,199.44,yes
849,0,no,7,0,4085,34,208,8,3,pre-paid,active,30,996.76,yes
850,0,no,7,0,1182,13,0,5,2,pre-paid,active,25,53.775,no
851,3,no,36,0,4065,65,0,15,2,pre-paid,active,25,185.85,yes
852,0,no,37,0,0,0,0,0,2,pre-paid,not-active,25,0,yes
853,5,no,35,0,2148,54,352,22,2,pre-paid,active,25,1683.09,yes
854,5,no,36,0,3893,60,0,33,1,pre-paid,active,15,217.415,yes
855,0,no,36,0,2088,52,0,31,1,pre-paid,active,15,117.7,yes
856,6,no,36,0,3470,76,25,26,2,pre-paid,active,25,272.07,yes
857,0,no,36,0,2055,33,278,16,3,pre-paid,active,30,1195.52,yes
858,8,no,35,1,8810,115,137,41,3,pre-paid,active,30,905,yes
859,2,no,36,0,13468,163,0,42,3,pre-paid,active,30,545.24,yes
860,2,no,36,0,4210,77,0,23,3,pre-paid,active,30,171.48,yes
861,1,no,36,0,5613,89,0,10,2,pre-paid,active,25,256.59,yes
862,4,no,36,0,1933,48,1,15,3,pre-paid,not-active,30,83.24,yes
863,20,no,36,2,14835,219,47,30,3,pre-paid,active,30,790.16,yes
864,0,no,36,0,2790,21,476,6,3,pre-paid,active,30,2016.44,yes
865,4,no,35,0,15180,176,143,28,2,pre-paid,active,25,1334.52,yes
866,0,no,35,0,6195,80,179,24,3,pre-paid,active,30,967,yes
867,0,no,35,0,570,8,0,9,2,pre-paid,not-active,25,26.01,yes
868,0,no,36,0,405,8,6,6,2,pre-paid,not-active,25,45.585,yes
869,0,no,35,0,0,0,0,0,2,pre-paid,not-active,25,0,no
870,0,no,35,0,7203,121,377,41,2,pre-paid,active,25,2026.08,yes
871,2,no,35,0,11160,148,4,45,3,pre-paid,active,30,468.32,yes
872,3,no,35,0,6413,69,101,35,2,pre-paid,active,25,746.19,yes
873,18,yes,31,0,650,41,9,15,2,pre-paid,not-active,25,71.595,no
874,16,no,34,7,10130,87,0,40,4,pre-paid,active,45,255.425,yes
875,8,no,34,0,5513,92,19,22,2,pre-paid,active,25,337.725,no
876,0,no,32,0,2535,16,0,12,3,pre-paid,active,30,102.04,yes
877,4,yes,33,0,2685,35,2,14,2,pre-paid,not-active,25,131.4,no
878,4,no,34,0,1963,38,27,29,3,pre-paid,not-active,30,188.04,no
879,0,yes,34,0,0,0,0,0,3,pre-paid,not-active,30,0,no
880,0,no,34,0,1363,19,0,4,3,pre-paid,active,30,55.28,yes
881,0,no,31,0,6480,91,7,20,4,pre-paid,active,45,181.775,yes
882,0,no,34,0,323,1,2,2,4,pre-paid,not-active,45,13.1,no
883,0,no,34,0,0,0,0,0,5,pre-paid,active,55,0,yes
884,20,no,29,2,15770,232,0,78,2,pre-paid,active,25,720.09,yes
885,1,no,32,2,6660,110,264,31,2,post-paid,active,25,1492.65,yes
886,0,no,34,0,3413,76,0,26,2,pre-paid,active,25,157.005,yes
887,0,no,33,0,1360,38,31,18,3,pre-paid,not-active,30,179.92,yes
888,1,no,34,0,2475,47,168,21,2,pre-paid,active,25,869.49,yes
889,0,no,25,0,1010,30,186,9,2,post-paid,active,25,883.8,yes
890,0,no,24,0,1263,33,23,66,4,pre-paid,active,45,89.9,yes
891,6,no,25,0,395,19,3,5,2,pre-paid,not-active,25,32.13,yes
892,0,no,24,0,520,4,14,1,4,pre-paid,not-active,45,48.1,yes
893,5,no,23,0,920,26,12,11,2,pre-paid,active,25,96.57,yes
894,0,no,23,0,2920,55,1,21,3,pre-paid,active,30,123,yes
895,0,no,16,0,1390,20,21,12,2,pre-paid,active,25,157.95,yes
896,11,no,15,0,6087,135,78,40,1,post-paid,active,15,771.21,yes
897,7,no,13,0,8627,165,66,38,4,pre-paid,active,45,384.8,yes
898,3,no,14,2,2547,39,24,17,3,pre-paid,active,30,199.44,yes
899,0,no,7,0,4085,34,208,8,3,pre-paid,active,30,996.76,yes
900,0,no,7,0,1182,13,0,5,2,pre-paid,active,25,53.775,no
901,13,no,40,1,4675,77,12,19,3,pre-paid,active,30,238.08,yes
902,5,no,41,0,623,11,14,6,3,pre-paid,not-active,30,81.36,yes
903,15,no,39,1,2758,66,366,26,3,pre-paid,active,30,1576.96,yes
904,15,no,40,1,4503,72,8,37,1,pre-paid,active,15,295.625,yes
905,8,no,40,1,2698,64,9,35,2,pre-paid,active,25,164.79,yes
906,16,no,40,2,4080,88,39,30,3,pre-paid,active,30,322.72,yes
907,9,no,40,1,2665,45,292,20,3,pre-paid,active,30,1276.4,yes
908,18,no,39,3,9420,127,151,45,3,pre-paid,active,30,985.88,yes
909,12,no,40,1,14078,175,7,46,3,pre-paid,active,30,598.12,yes
910,12,no,40,2,4820,89,9,27,3,pre-paid,active,30,232.36,yes
911,11,no,40,1,6223,101,14,14,3,pre-paid,active,30,308.96,yes
912,14,yes,40,0,2543,60,15,19,3,pre-paid,not-active,30,164.12,yes
913,30,no,40,4,15445,231,61,34,3,post-paid,active,30,871.04,yes
914,9,no,40,2,3400,33,490,10,3,pre-paid,active,30,2097.32,yes
915,14,no,39,1,15790,188,157,32,2,pre-paid,active,25,1425.51,yes
916,8,no,39,2,6805,92,193,28,3,pre-paid,active,30,1047.88,yes
917,5,no,39,0,1180,20,7,13,2,pre-paid,not-active,25,85.5,yes
918,7,no,40,0,1015,20,20,10,3,pre-paid,not-active,30,121.4,yes
919,5,no,39,0,305,6,7,2,2,pre-paid,not-active,25,45.495,no
920,8,no,39,1,7813,133,391,45,3,pre-paid,active,30,1881.84,yes
921,12,no,39,2,11770,160,18,49,4,pre-paid,active,45,343.25,yes
922,13,no,39,2,7023,81,115,39,2,pre-paid,active,25,837.18,yes
923,28,no,35,0,1260,53,23,19,3,pre-paid,not-active,30,144.52,no
924,26,no,38,9,10740,99,8,44,5,pre-paid,active,55,174.585,yes
925,18,no,38,2,6123,104,33,26,2,pre-paid,active,25,428.715,yes
926,6,no,36,1,3145,28,7,16,3,pre-paid,active,30,154.92,yes
927,14,yes,37,0,3295,47,16,18,3,pre-paid,not-active,30,197.68,no
928,14,yes,38,0,2573,50,41,33,4,pre-paid,not-active,45,168.075,no
929,5,no,38,0,438,8,7,4,3,pre-paid,not-active,30,45.84,no
930,6,no,38,1,1973,31,7,8,4,pre-paid,active,45,67.6,yes
931,8,no,35,2,7090,103,21,24,5,pre-paid,active,55,139.395,yes
932,5,no,38,0,933,13,16,6,4,pre-paid,not-active,45,63.65,no
933,5,no,38,2,643,10,11,4,5,pre-paid,active,55,26.295,yes
934,30,no,33,4,16380,244,7,82,2,post-paid,active,25,779.58,yes
935,11,no,36,4,7270,122,278,35,3,post-paid,active,30,1407.68,yes
936,7,no,38,1,4023,88,9,30,3,pre-paid,active,30,200.44,yes
937,8,no,37,0,1970,50,45,22,3,pre-paid,not-active,30,260.8,yes
938,11,no,38,1,3085,59,182,25,2,pre-paid,active,25,960.48,yes
939,9,no,29,2,1620,42,200,13,3,post-paid,active,30,866.48,yes
940,9,no,28,1,1873,45,37,70,5,pre-paid,active,55,84.27,yes
941,16,no,29,0,1005,31,17,9,3,pre-paid,not-active,30,109.44,yes
942,5,no,28,0,1130,16,28,5,4,pre-paid,not-active,45,98.65,yes
943,15,no,27,1,1530,38,26,15,2,pre-paid,active,25,187.56,yes
944,7,no,27,1,3530,67,15,25,3,pre-paid,active,30,203.88,yes
945,7,no,20,1,2000,32,35,16,3,pre-paid,active,30,221.28,yes
946,21,no,19,2,6698,147,92,44,2,post-paid,active,25,722.025,yes
947,17,no,17,1,9238,177,80,42,5,pre-paid,active,55,261.225,yes
948,13,no,18,4,3158,51,38,21,3,post-paid,active,30,280.36,yes
949,7,no,11,2,4695,46,222,12,3,pre-paid,active,30,1077.64,yes
950,8,yes,11,2,1793,25,7,9,3,pre-paid,active,30,100.72,no
951,16,no,42,2,4735,80,17,21,3,pre-paid,active,30,260.6,yes
952,8,no,43,2,683,14,19,8,3,pre-paid,active,30,103.88,yes
953,18,no,41,2,2818,69,371,28,3,pre-paid,active,30,1599.48,yes
954,18,no,42,2,4563,75,13,39,1,pre-paid,active,15,326.59,yes
955,11,no,42,2,2758,67,14,37,2,pre-paid,active,25,190.125,yes
956,19,no,42,3,4140,91,44,32,3,pre-paid,active,30,345.24,yes
957,12,no,42,2,2725,48,297,22,4,pre-paid,active,45,811.825,yes
958,21,no,41,4,9480,130,156,47,3,pre-paid,active,30,1008.4,yes
959,15,no,42,2,14138,178,12,48,3,pre-paid,active,30,620.64,yes
960,15,no,42,3,4880,92,14,29,4,pre-paid,active,45,159.3,yes
961,14,no,42,2,6283,104,19,16,3,pre-paid,active,30,331.48,yes
962,17,no,42,2,2603,63,20,21,4,pre-paid,active,45,116.65,yes
963,33,no,42,5,15505,234,66,36,3,post-paid,active,30,893.56,yes
964,12,no,42,3,3460,36,495,12,4,pre-paid,active,45,1324.9,yes
965,17,no,41,2,15850,191,162,34,2,pre-paid,active,25,1450.845,yes
966,11,no,41,3,6865,95,198,30,3,pre-paid,active,30,1070.4,yes
967,8,no,41,2,1240,23,12,15,2,pre-paid,active,25,110.835,yes
968,10,no,42,2,1075,23,25,12,3,pre-paid,active,30,143.92,yes
969,8,no,41,2,365,9,12,4,3,pre-paid,active,30,62.96,no
970,11,no,41,2,7873,136,396,47,3,pre-paid,active,30,1904.36,yes
971,15,no,41,3,11830,163,23,51,4,pre-paid,active,45,357.325,yes
972,16,no,41,3,7083,84,120,41,2,pre-paid,active,25,862.515,yes
973,31,yes,37,2,1320,56,28,21,3,pre-paid,active,30,167.04,no
974,29,yes,40,10,10800,102,13,46,5,post-paid,active,55,183.03,yes
975,21,no,40,3,6183,107,38,28,3,pre-paid,active,30,403.6,yes
976,9,no,38,2,3205,31,12,18,3,pre-paid,active,30,177.44,yes
977,17,yes,39,2,3355,50,21,20,3,pre-paid,active,30,220.2,no
978,17,no,40,2,2633,53,46,35,4,pre-paid,active,45,182.15,no
979,8,no,40,2,498,11,12,6,3,pre-paid,active,30,68.36,no
980,9,no,40,2,2033,34,12,10,4,pre-paid,active,45,81.675,yes
981,11,no,37,3,7150,106,26,26,5,pre-paid,active,55,147.84,yes
982,8,yes,40,2,993,16,21,8,4,pre-paid,active,45,77.725,no
983,8,no,40,3,703,13,16,6,5,pre-paid,active,55,34.74,yes
984,33,no,35,5,16440,247,12,84,2,post-paid,active,25,804.915,yes
985,14,no,38,5,7330,125,283,37,3,post-paid,active,30,1430.2,yes
986,10,no,40,2,4083,91,14,32,3,pre-paid,active,30,222.96,yes
987,11,no,39,2,2030,53,50,24,4,pre-paid,active,45,177.075,yes
988,14,no,40,2,3145,62,187,27,2,pre-paid,active,25,985.815,yes
989,12,no,31,3,1680,45,205,15,3,post-paid,active,30,889,yes
990,12,no,30,2,1933,48,42,72,5,pre-paid,active,55,92.715,yes
991,19,no,31,2,1065,34,22,11,3,pre-paid,active,30,131.96,yes
992,8,no,30,2,1190,19,33,7,4,pre-paid,active,45,112.725,yes
993,18,no,29,2,1590,41,31,17,2,pre-paid,active,25,212.895,yes
994,10,no,29,2,3590,70,20,27,3,pre-paid,active,30,226.4,yes
995,10,no,22,2,2060,35,40,18,3,pre-paid,active,30,243.8,yes
996,24,no,21,3,6758,150,97,46,2,post-paid,active,25,747.36,yes
997,20,no,19,2,9298,180,85,44,5,pre-paid,active,55,269.67,yes
998,16,no,20,5,3218,54,43,23,3,post-paid,active,30,302.88,yes
999,10,no,13,3,4755,49,227,14,3,pre-paid,active,30,1100.16,yes
1000,11,yes,13,3,1853,28,12,11,3,pre-paid,active,30,123.24,no
1001,10,no,38,1,4615,74,7,17,3,pre-paid,active,30,215.56,yes
1002,5,no,39,0,563,8,9,4,3,pre-paid,not-active,30,58.84,yes
1003,12,no,37,1,2698,63,361,24,3,pre-paid,active,30,1554.44,yes
1004,12,no,38,1,4443,69,7,35,1,pre-paid,active,15,286.66,yes
1005,5,no,38,1,2638,61,7,33,2,pre-paid,active,25,152.955,yes
1006,13,no,38,1,4020,85,34,28,3,pre-paid,active,30,300.2,yes
1007,6,no,38,1,2605,42,287,18,3,pre-paid,active,30,1253.88,yes
1008,15,no,37,2,9360,124,146,43,3,pre-paid,active,30,963.36,yes
1009,9,no,38,1,14018,172,7,44,3,pre-paid,active,30,595.6,yes
1010,9,no,38,1,4760,86,7,25,3,pre-paid,active,30,221.84,yes
1011,8,no,38,1,6163,98,9,12,3,pre-paid,active,30,286.44,yes
1012,11,no,38,0,2483,57,10,17,3,pre-paid,not-active,30,141.6,yes
1013,27,no,38,3,15385,228,56,32,3,pre-paid,active,30,848.52,yes
1014,6,no,38,1,3340,30,485,8,3,pre-paid,active,30,2074.8,yes
1015,11,no,37,1,15730,185,152,30,2,pre-paid,active,25,1400.175,yes
1016,5,no,37,1,6745,89,188,26,3,pre-paid,active,30,1025.36,yes
1017,5,no,37,0,1120,17,7,11,2,pre-paid,not-active,25,82.665,yes
1018,5,no,38,0,955,17,15,8,3,pre-paid,not-active,30,98.88,yes
1019,5,no,37,0,305,6,7,2,2,pre-paid,not-active,25,45.495,no
1020,5,no,37,1,7753,130,386,43,3,pre-paid,active,30,1859.32,yes
1021,9,no,37,1,11710,157,13,47,4,pre-paid,active,45,329.175,yes
1022,10,no,37,1,6963,78,110,37,2,pre-paid,active,25,811.845,yes
1023,25,yes,33,0,1200,50,18,17,3,pre-paid,not-active,30,122,no
1024,23,no,36,8,10680,96,7,42,5,pre-paid,active,55,172.14,yes
1025,15,no,36,1,6063,101,28,24,2,pre-paid,active,25,403.38,yes
1026,5,no,34,1,3085,25,7,14,3,pre-paid,active,30,152.4,yes
1027,11,no,35,0,3235,44,11,16,3,pre-paid,not-active,30,175.16,no
1028,11,yes,36,0,2513,47,36,31,3,pre-paid,not-active,30,246.4,no
1029,5,no,36,0,305,6,7,2,3,pre-paid,not-active,30,40.44,no
1030,5,no,36,1,1913,28,7,6,4,pre-paid,active,45,66.025,yes
1031,5,no,33,1,7030,100,16,22,5,pre-paid,active,55,130.95,yes
1032,5,no,36,0,873,10,11,4,4,pre-paid,not-active,45,49.575,no
1033,5,no,36,1,305,6,7,2,5,pre-paid,active,55,15.165,yes
1034,27,no,31,3,16320,241,7,80,2,pre-paid,active,25,776.745,yes
1035,8,no,34,3,7210,119,273,33,2,post-paid,active,25,1558.305,yes
1036,5,no,36,1,3963,85,7,28,3,pre-paid,active,30,189.92,yes
1037,5,no,35,0,1910,47,40,20,3,pre-paid,not-active,30,238.28,yes
1038,8,no,36,1,3025,56,177,23,2,pre-paid,active,25,935.145,yes
1039,6,no,27,1,1560,39,195,11,2,post-paid,active,25,949.455,yes
1040,6,no,26,1,1813,42,32,68,4,pre-paid,active,45,126.375,yes
1041,13,no,27,0,945,28,12,7,3,pre-paid,not-active,30,86.92,yes
1042,5,no,26,0,1070,13,23,3,4,pre-paid,not-active,45,84.575,yes
1043,12,no,25,1,1470,35,21,13,2,pre-paid,active,25,162.225,yes
1044,5,no,25,1,3470,64,10,23,3,pre-paid,active,30,181.36,yes
1045,5,no,18,1,1940,29,30,14,2,pre-paid,active,25,223.605,yes
1046,18,no,17,1,6638,144,87,42,2,post-paid,active,25,696.69,yes
1047,14,no,15,1,9178,174,75,40,5,pre-paid,active,55,252.78,yes
1048,10,no,16,3,3098,48,33,19,3,pre-paid,active,30,257.84,yes
1049,5,no,9,1,4635,43,217,10,3,pre-paid,active,30,1055.12,yes
1050,5,yes,9,1,1733,22,7,7,3,pre-paid,active,30,98.2,no
1051,14,no,44,2,4755,79,22,23,3,pre-paid,active,30,281.36,yes
1052,6,no,45,0,703,13,24,10,3,pre-paid,not-active,30,124.64,yes
1053,16,no,43,2,2838,68,376,30,3,pre-paid,active,30,1620.24,yes
1054,16,no,44,2,4583,74,18,41,1,pre-paid,active,15,355.135,yes
1055,9,no,44,2,2778,66,19,39,2,pre-paid,active,25,213.48,yes
1056,17,no,44,3,4160,90,49,34,3,pre-paid,active,30,366,yes
1057,10,no,44,2,2745,47,302,24,4,pre-paid,active,45,824.8,yes
1058,19,no,43,4,9500,129,161,49,3,pre-paid,active,30,1029.16,yes
1059,13,no,44,2,14158,177,17,50,3,pre-paid,active,30,641.4,yes
1060,13,no,44,3,4900,91,19,31,3,pre-paid,active,30,275.64,yes
1061,12,no,44,2,6303,103,24,18,3,pre-paid,active,30,352.24,yes
1062,15,yes,44,0,2623,62,25,23,3,pre-paid,not-active,30,207.4,yes
1063,31,no,44,5,15525,233,71,38,3,pre-paid,active,30,914.32,yes
1064,10,no,44,3,3480,35,500,14,4,pre-paid,active,45,1337.875,yes
1065,15,no,43,2,15870,190,167,36,2,pre-paid,active,25,1474.2,yes
1066,9,no,43,3,6885,94,203,32,3,pre-paid,active,30,1091.16,yes
1067,6,no,43,0,1260,22,17,17,2,pre-paid,not-active,25,134.19,yes
1068,8,no,44,0,1095,22,30,14,3,pre-paid,not-active,30,164.68,yes
1069,6,no,43,0,385,8,17,6,2,pre-paid,not-active,25,94.185,no
1070,9,no,43,2,7893,135,401,49,3,pre-paid,active,30,1925.12,yes
1071,13,no,43,3,11850,162,28,53,4,pre-paid,active,45,370.3,yes
1072,14,no,43,3,7103,83,125,43,2,pre-paid,active,25,885.87,yes
1073,29,yes,39,0,1340,55,33,23,3,pre-paid,not-active,30,187.8,no
1074,27,no,42,10,10820,101,18,48,5,pre-paid,active,55,190.815,yes
1075,19,no,42,3,6203,106,43,30,3,pre-paid,active,30,424.36,yes
1076,7,no,40,2,3225,30,17,20,3,pre-paid,active,30,198.2,yes
1077,15,yes,41,0,3375,49,26,22,3,pre-paid,not-active,30,240.96,no
1078,15,yes,42,0,2653,52,51,37,4,pre-paid,not-active,45,195.125,no
1079,6,no,42,0,518,10,17,8,3,pre-paid,not-active,30,89.12,no
1080,7,no,42,2,2053,33,17,12,4,pre-paid,active,45,94.65,yes
1081,9,no,39,3,7170,105,31,28,5,pre-paid,active,55,155.625,yes
1082,6,yes,42,0,1013,15,26,10,4,pre-paid,not-active,45,90.7,no
1083,6,no,42,3,723,12,21,8,5,pre-paid,active,55,42.525,yes
1084,31,no,37,5,16460,246,17,86,2,pre-paid,active,25,828.27,yes
1085,12,no,40,5,7350,124,288,39,3,post-paid,active,30,1450.96,yes
1086,8,no,42,2,4103,90,19,34,3,pre-paid,active,30,243.72,yes
1087,9,yes,41,0,2050,52,55,26,4,pre-paid,not-active,45,190.05,yes
1088,12,no,42,2,3165,61,192,29,2,pre-paid,active,25,1009.17,yes
1089,10,no,33,3,1700,44,210,17,3,post-paid,active,30,909.76,yes
1090,10,no,32,2,1953,47,47,74,5,pre-paid,active,55,100.5,yes
1091,17,no,33,0,1085,33,27,13,3,pre-paid,not-active,30,152.72,yes
1092,6,no,32,0,1210,18,38,9,4,pre-paid,not-active,45,125.7,yes
1093,16,no,31,2,1610,40,36,19,2,pre-paid,active,25,236.25,yes
1094,8,no,31,2,3610,69,25,29,3,pre-paid,active,30,247.16,yes
1095,8,no,24,2,2080,34,45,20,3,pre-paid,active,30,264.56,yes
1096,22,no,23,3,6778,149,102,48,2,post-paid,active,25,770.715,yes
1097,18,no,21,2,9318,179,90,46,5,pre-paid,active,55,277.455,yes
1098,14,no,22,5,3238,53,48,25,3,post-paid,active,30,323.64,yes
1099,8,no,15,3,4775,48,232,16,3,pre-paid,active,30,1120.92,yes
1100,9,yes,15,3,1873,27,17,13,3,pre-paid,active,30,144,no
1101,12,no,36,1,4595,75,7,15,3,pre-paid,active,30,214.8,yes
1102,5,no,37,0,305,6,7,2,3,pre-paid,not-active,30,40.44,yes
1103,14,no,35,1,2678,64,356,22,3,pre-paid,active,30,1533.68,yes
1104,14,no,36,1,4423,70,7,33,2,pre-paid,active,25,233.685,yes
1105,7,no,36,1,2618,62,7,31,2,pre-paid,active,25,152.1,yes
1106,15,no,36,1,4000,86,29,26,3,pre-paid,active,30,279.44,yes
1107,8,no,36,1,2585,43,282,16,3,pre-paid,active,30,1233.12,yes
1108,17,no,35,2,9340,125,141,41,3,pre-paid,active,30,942.6,yes
1109,11,no,36,1,13998,173,7,42,3,pre-paid,active,30,594.84,yes
1110,11,no,36,1,4740,87,7,23,3,pre-paid,active,30,221.08,yes
1111,10,no,36,1,6143,99,7,10,3,pre-paid,active,30,277.68,yes
1112,13,no,36,0,2463,58,7,15,3,pre-paid,not-active,30,128.84,yes
